class,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,labels,superclasses
ENVO_00000000,,"This class is being depopulated and will be filled only with inferred subclasses. Please do not use this for direct annotation, favouring instead a more descriptive subclass.",An astrononmical body part which delimited by physical discontinuities with its surroundings.,,,macroscopic spatial feature,,,,envoPolar,geographic feature,ENVO_01000813
ENVO_00000001,,,A cavity developed along a bedding-plane and elongate in cross-section as a result.,,,,,,,,bedding-plane cave,ENVO_00000067
ENVO_00000002,,,An anthropogenic geographic feature is a geographic feature resulting from the influence of human beings on nature.,,,,,"man-made feature, manmade feature",,,anthropogenic geographic feature,ENVO_00000000
ENVO_00000004,,,,,,administrative area,,"administrative division, administrative entity, boundary region, civil area, district, free trade zone, governed place, leased area (government), leased zone (government), neutral zone (political), prefecture, protectorate, sheikdom, sultanate, trade zone",,,administrative region,ENVO_01003020
ENVO_00000005,,,"A primary administrative division of a country, such as a state in the United States.",,,,,"countries, 1st order division, first level subdivision, first-order administrative division",,,first-order administrative region,ENVO_00000004
ENVO_00000006,,,A subdivision of a first-order administrative division.,,,,,"countries, 2nd order division, second level subdivision, second-order administrative division",,,second-order administrative region,ENVO_00000004
ENVO_00000007,,,A subdivision of a second-order administrative division.,,,,,"barrio, countries, 3rd order division, third level subdivision, third-order administrative division",,,third-order administrative region,ENVO_00000004
ENVO_00000008,,,A subdivision of a third-order administrative division.,,,,,"countries, 4th order division, fourth level subdivision, fourth-order administrative division",,,fourth-order administrative region,ENVO_00000004
ENVO_00000009,,,A political association with effective dominion over a geographic area.,,,nation,"independent nation, independent political entity, independent sovereign nation","country, political entity, state",,,national geopolitical entity,ENVO_00000123
ENVO_00000010,,,"A construction which enables the movement of humans, their animals or their vehicles.",,,,,,,,transport feature,ENVO_00000070
ENVO_00000011,,,An enclosure for displaying selected plant or animal life.,,,,,"PARK, cropland, park",,,garden,ENVO_00000002
ENVO_00000012,,,A geographical feature associated with water.,,,,,fluvial feature,,envoPolar,hydrographic feature,"RO_0002577, ENVO_00000000"
ENVO_00000013,,,A collection of caves interconnected by enterable passages or linked hydrologically or a cave with an extensive complex of chambers and passages.,,,,,,,,cave system,ENVO_01001884
ENVO_00000014,,"This class refers to the water contained in a canal channel, and not the channel itself.","Artificial watercourse with no flow or a controlled flow used for navigation, drainage or irrigation.",,,,,,,,canal,ENVO_00000029
ENVO_00000015,,,A marine water body which is constitutes the majority of an astronomical body's hydrosphere.,,,,,ocean region,,"envoMarine, envoPolar",ocean,"ENVO_00001999, ENVO_01001319"
ENVO_00000016,,,A large expanse of saline water usually connected with an ocean.,,,,"channel, closed sea, marginal sea, open sea, open sound, open water",,,"envoMarine, envoPolar",sea,"ENVO_00001999, ENVO_01001319"
