class,labels,alternative_terms,comments,definitions,editor_notes,has_broad_synonyms,has_exact_synonyms,has_narrow_synonyms,has_related_synonyms,hasSynonyms,in_subsets,superclasses,determined by,formed as result of,has quality,http://www.w3.org/2000/01/rdf-schema#subClassOf,overlaps,part of
ENVO_00000446,terrestrial biome,,,A biome which is  primarily or completely situated on a landmass.,,,,,terrestrial realm,,,ENVO_00000428; ENVO_01001790,,,,terrestrial biome|terrestrial ecosystem,,
ENVO_00000447,marine biome,,"This biome includes open-ocean and unprotected coastal ecosystems, characterized by exposure to wave action, tidal fluctuation, and ocean currents as well as systems that largely resemble these. Water in the marine biome is generally within the salinity range of seawater: 30 to 38 ppt.",An aquatic biome which is determined by a marine water body.,,,,,marine realm,,envoPolar,ENVO_00002030; ENVO_01001788,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine biome|marine ecosystem,marine water body,marine water body
ENVO_00000873,freshwater biome,,,An aquatic biome which is determined by a body of freshwater.,,,,,freshwater realm,,envoPolar,ENVO_00002030; ENVO_01001789,fresh water body,,,freshwater biome|aquatic biome|aquatic ecosystem|freshwater ecosystem,fresh water body,fresh water body
ENVO_00000887,large river biome,,"""Large"" is ambiguous. For details on ""Large rivers"" (e.g. the Mekong river) see http://worldwildlife.org/biomes/large-river-ecosystems This class will be replaced with a less ambiguous class.",A freshwater river biome which is determined by a large river.,,,,,,,wwfBiome,ENVO_01000253,fresh water body,,,freshwater biome|large river biome|freshwater river biome|aquatic biome|aquatic ecosystem|freshwater ecosystem,liquid water|river|stream|watercourse|freshwater river|fresh water|fresh water body|liquid environmental material|freshwater stream,fresh water body
ENVO_00000888,large river headwater biome,,"""Large"" is ambiguous. For details on ""Large river headwaters"" (e.g. the Upper Amazon headwaters) see http://worldwildlife.org/biomes/large-river-headwater-ecosystems This class will be replaced with a less ambiguous class.",A freshwater river biome which is determined by the headwaters of a large river.,,,,,,,wwfBiome,ENVO_01000253,fresh water body,,,freshwater biome|freshwater river biome|aquatic biome|aquatic ecosystem|large river headwater biome|freshwater ecosystem,liquid water|headwater|depressed landform|freshwater biome|large river biome|river|stream|watercourse|freshwater river biome|structural basin|freshwater river|slope|fresh water|aquatic biome|fresh water body|liquid environmental material|freshwater stream|aquatic ecosystem|freshwater ecosystem,freshwater biome|large river biome|freshwater river biome|aquatic biome|fresh water body|aquatic ecosystem|freshwater ecosystem
ENVO_00000889,large river delta biome,,"""Large"" is ambiguous. For details on ""Large river deltas"" (e.g. the Niger river delta) see http://worldwildlife.org/biomes/large-river-delta-ecosystems This class will be replaced with a less ambiguous class.",A freshwater river biome which is determined by the delta of a large river.,,,,,,,wwfBiome,ENVO_01000253,fresh water body,,,freshwater biome|freshwater river biome|aquatic biome|aquatic ecosystem|large river delta biome|freshwater ecosystem,stream mouth|river mouth|liquid water|delta|mouth|freshwater biome|large river biome|river|stream|watercourse|freshwater river biome|freshwater river|fresh water|aquatic biome|fresh water body|liquid environmental material|freshwater stream|aquatic ecosystem|freshwater ecosystem,freshwater biome|large river biome|freshwater river biome|aquatic biome|fresh water body|aquatic ecosystem|freshwater ecosystem
ENVO_00000890,small river biome,,"""Small"" is ambiguous. For details on ""Small rivers"" (e.g. the Salween river) see http://worldwildlife.org/biomes/small-river-ecosystems. This class will be replaced with a less ambiguous class.",A freshwater river biome which is determined by a small river.,,,,,,,wwfBiome,ENVO_01000253,fresh water body,,,freshwater biome|freshwater river biome|aquatic biome|aquatic ecosystem|small river biome|freshwater ecosystem,liquid water|river|stream|watercourse|freshwater river|fresh water|fresh water body|liquid environmental material|freshwater stream,fresh water body
ENVO_00000891,large freshwater lake biome,,"""Large"" is ambiguous. For details on ""Large lakes"" (e.g. African rift lakes) see http://worldwildlife.org/biomes/large-lake-ecosystems This class will be replaced with a less ambiguous class.",A freshwater biome which is determined by a large lake.,,,,,,,wwfBiome,ENVO_01000252,fresh water body,,,freshwater biome|aquatic biome|freshwater lake biome|aquatic ecosystem|large freshwater lake biome|freshwater ecosystem,liquid water|lake|freshwater lake|fresh water|fresh water body|liquid environmental material,fresh water body
ENVO_00000892,small freshwater lake biome,,"""Small"" is ambiguous. For details on ""Small lakes"" (e.g. Cameroon crater lakes)  see http://worldwildlife.org/biomes/small-lake-ecosystems. This class will be replaced with a less ambiguous class.",A freshwater lake biome which is determined by a small lake.,,,,,,,wwfBiome,ENVO_01000252,fresh water body,,,freshwater biome|aquatic biome|freshwater lake biome|aquatic ecosystem|small freshwater lake biome|freshwater ecosystem,liquid water|lake|freshwater lake|fresh water|fresh water body|liquid environmental material,fresh water body
ENVO_00000893,xeric basin biome,,,A biome which has little permanent surface water and a low relative abundance of springs.,"The WWF definition is somewhat ambiguous, but workable.",,,,,,wwfBiome,ENVO_00000873,fresh water body,,,freshwater biome|aquatic biome|aquatic ecosystem|xeric basin biome|freshwater ecosystem,spring|freshwater spring|fresh water body,fresh water body
ENVO_00002030,aquatic biome,,,A biome which is determined by a water body and which has ecological climax communities adapted to life in or on water.,,,,,,,,ENVO_00000428; ENVO_01001787,,,,aquatic biome|aquatic ecosystem,,
ENVO_01000004,concentration basin mediterranean sea biome,,,The concentration basin mediterranean sea biome comprises expressions of the mediterranean sea biome that have higher salinity than bordering oceans due to evaporation. Water exchange consists of inflow of the fresher oceanic water in the upper layer and outflow of the saltier mediterranean water in the lower layer of the connecting channel.,,,,,,,,ENVO_01000047,marine water body,,subtropical|mediterranean,aquatic biome|marine environment|aquatic ecosystem|mediterranean sea biome|marine biome|concentration basin mediterranean sea biome|subtropical environment|marine ecosystem|subtropical biome|mediterranean biome,marine water body,marine water body
ENVO_01000020,estuarine biome,,,Expressions of the estuarine biome occur at wide lower courses of a rivers where they flow into a sea. Estuaries experience tidal flows and their water is a changing mixture of fresh and salt.,,,,,,,,ENVO_00000447,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine biome|estuarine biome|marine ecosystem,marine water body,marine water body
ENVO_01000022,marine salt marsh biome,,,"The marine salt marsh biome comprises marshes that are transitional intertidals between land and salty or brackish marine water (e.g.: sloughs, bays, estuaries). It is dominated by halophytic (salt tolerant) herbaceous plants. The daily tidal surges bring in nutrients, which tend to settle in roots of the plants within the salt marsh. The natural chemical activity of salty (or brackish) water and the tendency of algae to bloom in the shallow unshaded water also allow for great biodiversity.",,,,,,,,ENVO_00000447,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine biome|marine salt marsh biome|marine ecosystem,marine water body,marine water body
ENVO_01000023,marine pelagic biome,,,"The marine pelagic biome (pelagic meaning open sea) is that of the marine water column, from the surface to the greatest depths.",,,,,,,envoPolar,ENVO_00000447,marine water body,,,aquatic biome|marine environment|aquatic ecosystem|marine biome|marine pelagic biome|marine ecosystem,liquid water|marine water body|liquid environmental material,marine water body
ENVO_01000024,marine benthic biome,,,"The marine benthic biome (benthic meaning 'bottom') encompasses the seafloor and includes such areas as shores, littoral or intertidal areas, marine coral reefs, and the deep seabed.",,,,,,,envoPolar,ENVO_00000447,marine water body,,,aquatic biome|marine environment|marine biome|marine benthic biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000025,marine neritic benthic zone biome,,,The marine neritic zone biome comprises sea floor from the high tide mark to a continental shelf break. This zone generally extends to 200 m below average sea level.,,,,,,,envoPolar,ENVO_01000024,marine water body,,,aquatic biome|marine environment|marine biome|marine benthic biome|marine neritic benthic zone biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
ENVO_01000026,marine bathyal zone biome,,,The marine bathyal zone biome comprises regions of the marine benthic biome between approximately 200 m and 3000 m depth. This zone generally coincides with the continental slope.,,,,,,,,ENVO_01000024,marine water body,,,aquatic biome|marine environment|marine benthic biome|marine biome|marine bathyal zone biome|aquatic ecosystem|marine ecosystem,marine water body,marine water body
